Course OID,Course ID,Subject,Code,Name,Effective Date,Short Title,Academic Group
8286,154574,BUS,205,Human Resource Management,2011-01-10,Humn Res Mgt,NDEV
8287,154577,BUS,209,Continuous Quality Improvement,2015-10-19,Continuous Quality Improvement,NDEV
8780,154581,BUS,226,Computer Business Applications,2004-08-01,Microcomputer Apps in Business,NDEV
8288,154584,BUS,236,Communication in Management,1990-08-23,Comm in Mgt,NDEV
8289,154585,BUS,241,Business Law I,1988-06-20,Bus Law I,NDEV
8290,154586,BUS,242,Business Law II,2011-01-10,Busin Law II,NDEV
8735,154588,BUS,280,Introduction To International Business,1988-06-20,Int Intern Bus,NDEV
8291,154593,BUS,298,Seminar and Project,1988-06-20,Sem Proj,NDEV
8294,155208,CAD,201,Computer Aided Drafting and Design I,2010-01-01,Com Aided Drafting & Design I,NDEV
8295,155209,CAD,202,Computer Aided Drafting and Design II,2010-01-01,Com Aided Drfting & Desg II,NDEV
8781,155214,CAD,231,Computer Aided Drafting I,2010-01-01,Computer Aided Drafting I,NDEV
8782,155215,CAD,232,Computer Aided Drafting II,2010-01-01,Computer Aided Drafting II,NDEV
8296,155216,CAD,233,Computer Aided Drafting III,2013-12-13,Comp Aid Drf III,NDEV
8297,531336,CAD,250,3D Game Level Design,2010-01-01,3D Game Level Design,NDEV
8783,536090,CAD,238,Computer Aided Modeling and Rendering I,2012-01-01,Com Aided Modeling & Rend I,NDEV
8292,536436,CAD,140,Technical Drawing,2010-01-01,Technical Drawing,NDEV
8293,555650,CAD,200,Survey of Computer Aided Drafting,2014-05-01,Survey of Com Aided Drafting,NDEV
8298,154626,CHD,118,Language Arts For Children,1991-08-22,Lang Arts Chil,NDEV
8300,154627,CHD,120,Introduction to Early Childhood Education,2013-11-26,Intro to Early Childhood Educ,NDEV
8301,154630,CHD,125,Creative Activities For Children,1991-01-10,Creat Act F Ch,NDEV
8302,154631,CHD,126,Dev Sci & Mth Concepts For Children,1999-01-08,Dev Sci & Mth,NDEV
8303,154636,CHD,167,CDA Theories and Appl Portfolio,2011-01-10,CDA Theories,NDEV
8304,154639,CHD,205,Guiding the Behavior of Children,1992-01-09,Guiding the Beh of Children,NDEV
8305,154643,CHD,290,Coordinated Internship,2004-08-01,Coordinated Internship,NDEV
8299,569496,CHD,119,Introduction to Reading Methods,2017-08-01,Introduction to Reading Method,NDEV
8306,154697,CHM,5,Developmental Chemistry for Health Sciences,2011-01-14,Dev Chem for Health Sciences,DEV
8307,154698,CHM,101,General Chemistry I,2020-05-01,General Chemistry I,NDEV
8308,154699,CHM,102,General Chemistry II,2007-11-15,General Chemistry II,NDEV
8309,154700,CHM,111,College Chemistry I,2020-05-01,Coll Chem I,NDEV
8310,154701,CHM,112,College Chemistry II,2011-01-14,Coll Chem II,NDEV
8315,154823,COS,81,Cosmetology Theory I,2001-08-23,Cos Theory I,NDEV
8316,154824,COS,82,Cosmetology Theory II,2002-01-07,Cos Theory II,NDEV
8317,154826,COS,195,Topics In,2004-08-01,Topics In,NDEV
8318,505297,COS,198,COS,2004-08-01,COS,NDEV
8321,505298,COS,298,Seminar and Project,2008-08-01,Seminar and Project,NDEV
8322,546298,COS,299,Supervised Study,2011-01-01,Supervised Study,NDEV
8319,553216,COS,199,Supervised Study,2013-08-01,Supervised Study,NDEV
8311,160720,CST,100,Principles of Public Speaking,2011-01-18,Principles of Public Speaking,NDEV
8312,160722,CST,110,Introduction to Communication,2011-01-18,Introduction to Communication,NDEV
8313,160726,CST,131,Acting I,2009-08-01,Acting I,NDEV
8314,160731,CST,151,Film Appreciation I,2011-04-03,Film Appreciation I,NDEV
8323,155354,DSL,111,Introduction To Diesel Engine,1991-01-10,Int Diesel Eng,NDEV
8326,155356,DSL,131,Diesel Fuel Systems and Tune-Up,2007-01-01,Diesel Fuel Sy,NDEV
8328,155357,DSL,152,"Diesel Power Trains, Chassis, and Suspen",2004-08-01,Diesel Pow Tra,NDEV
8330,155359,DSL,161,Air Brake Systems I,2011-01-14,Air Brake Sys,NDEV
8333,155360,DSL,195,Topics,2005-08-01,Topics In,NDEV
8325,161120,DSL,126,Diesel Engine Reconditioning,2002-05-23,Dsl Egr Recond,NDEV
8327,161121,DSL,143,Diesel Truck Electrical Systems,2002-08-22,Dsl Trk Ele Sy,NDEV
8329,161122,DSL,160,Air Brake Systems,2002-05-23,Air Brake Syst,NDEV
8331,161123,DSL,181,Diesel Mechanics I,2002-08-22,Diesel Mech I,NDEV
8324,508773,DSL,123,Diesel Engine Systems I,2011-01-18,Diesel Engine Systems I,NDEV
8334,155368,ECO,201,Principles of Macroeconomics,2011-01-14,Principles of Macroeconomics,NDEV
8335,155369,ECO,202,Principles of Microeconomics,2011-01-14,Principles of Microeconomics,NDEV
9168,582469,EDE,10,English Composition Prep,2022-01-01,English Composition Prep,DEV
9169,582470,EDE,11,English Composition Readiness,2022-01-01,English Composition Readiness,DEV
8337,155437,EDU,235,"Health, Safety and Nutrition Education",1991-01-10,Hlt Safe Nutr,NDEV
